boro,ad,candidate,votes
Bronx,AD 77,Aaron S. Foldenauer,444
Bronx,AD 77,Andrew Yang,1310
Bronx,AD 77,Art Chang,150
Bronx,AD 77,Dianne Morales,1036
Bronx,AD 77,Eric L. Adams,7584
Bronx,AD 77,Isaac Wright Jr.,112
Bronx,AD 77,Joycelyn Taylor,138
Bronx,AD 77,Kathryn A. Garcia,890
Bronx,AD 77,Maya D. Wiley,2374
Bronx,AD 77,Paperboy Love Prince,44
Bronx,AD 77,Raymond J. McGuire,384
Bronx,AD 77,Scott M. Stringer,502
Bronx,AD 77,Shaun Donovan,328
Bronx,AD 77,WRITE-IN,22
Bronx,AD 78,Aaron S. Foldenauer,312
Bronx,AD 78,Andrew Yang,1252
Bronx,AD 78,Art Chang,146
Bronx,AD 78,Dianne Morales,790
Bronx,AD 78,Eric L. Adams,5480
Bronx,AD 78,Isaac Wright Jr.,60
Bronx,AD 78,Joycelyn Taylor,76
Bronx,AD 78,Kathryn A. Garcia,1130
Bronx,AD 78,Maya D. Wiley,2170
Bronx,AD 78,Paperboy Love Prince,36
Bronx,AD 78,Raymond J. McGuire,280
Bronx,AD 78,Scott M. Stringer,568
Bronx,AD 78,Shaun Donovan,318
Bronx,AD 78,WRITE-IN,20
Bronx,AD 79,Aaron S. Foldenauer,340
Bronx,AD 79,Andrew Yang,1236
Bronx,AD 79,Art Chang,140
Bronx,AD 79,Dianne Morales,866
Bronx,AD 79,Eric L. Adams,9012
Bronx,AD 79,Isaac Wright Jr.,124
Bronx,AD 79,Joycelyn Taylor,108
Bronx,AD 79,Kathryn A. Garcia,840
Bronx,AD 79,Maya D. Wiley,2304
Bronx,AD 79,Paperboy Love Prince,30
Bronx,AD 79,Raymond J. McGuire,464
Bronx,AD 79,Scott M. Stringer,584
Bronx,AD 79,Shaun Donovan,362
Bronx,AD 79,WRITE-IN,26
Bronx,AD 80,Aaron S. Foldenauer,276
Bronx,AD 80,Andrew Yang,1660
Bronx,AD 80,Art Chang,96
Bronx,AD 80,Dianne Morales,580
Bronx,AD 80,Eric L. Adams,6320
Bronx,AD 80,Isaac Wright Jr.,64
Bronx,AD 80,Joycelyn Taylor,54
Bronx,AD 80,Kathryn A. Garcia,1462
Bronx,AD 80,Maya D. Wiley,3034
Bronx,AD 80,Paperboy Love Prince,40
Bronx,AD 80,Raymond J. McGuire,336
Bronx,AD 80,Scott M. Stringer,862
Bronx,AD 80,Shaun Donovan,446
Bronx,AD 80,WRITE-IN,54
Bronx,AD 81,Aaron S. Foldenauer,178
Bronx,AD 81,Andrew Yang,2662
Bronx,AD 81,Art Chang,222
Bronx,AD 81,Dianne Morales,740
Bronx,AD 81,Eric L. Adams,6786
Bronx,AD 81,Isaac Wright Jr.,40
Bronx,AD 81,Joycelyn Taylor,62
Bronx,AD 81,Kathryn A. Garcia,6614
Bronx,AD 81,Maya D. Wiley,5272
Bronx,AD 81,Paperboy Love Prince,84
Bronx,AD 81,Raymond J. McGuire,602
Bronx,AD 81,Scott M. Stringer,2100
Bronx,AD 81,Shaun Donovan,840
Bronx,AD 81,WRITE-IN,54
Bronx,AD 82,Aaron S. Foldenauer,204
Bronx,AD 82,Andrew Yang,2148
Bronx,AD 82,Art Chang,148
Bronx,AD 82,Dianne Morales,678
Bronx,AD 82,Eric L. Adams,9532
Bronx,AD 82,Isaac Wright Jr.,72
Bronx,AD 82,Joycelyn Taylor,76
Bronx,AD 82,Kathryn A. Garcia,2690
Bronx,AD 82,Maya D. Wiley,3938
Bronx,AD 82,Paperboy Love Prince,68
Bronx,AD 82,Raymond J. McGuire,672
Bronx,AD 82,Scott M. Stringer,1402
Bronx,AD 82,Shaun Donovan,788
Bronx,AD 82,WRITE-IN,72
Bronx,AD 83,Aaron S. Foldenauer,184
Bronx,AD 83,Andrew Yang,1046
Bronx,AD 83,Art Chang,60
Bronx,AD 83,Dianne Morales,336
Bronx,AD 83,Eric L. Adams,12772
Bronx,AD 83,Isaac Wright Jr.,110
Bronx,AD 83,Joycelyn Taylor,64
Bronx,AD 83,Kathryn A. Garcia,694
Bronx,AD 83,Maya D. Wiley,4008
Bronx,AD 83,Paperboy Love Prince,26
Bronx,AD 83,Raymond J. McGuire,522
Bronx,AD 83,Scott M. Stringer,612
Bronx,AD 83,Shaun Donovan,528
Bronx,AD 83,WRITE-IN,26
Bronx,AD 84,Aaron S. Foldenauer,436
Bronx,AD 84,Andrew Yang,1296
Bronx,AD 84,Art Chang,168
Bronx,AD 84,Dianne Morales,1014
Bronx,AD 84,Eric L. Adams,6900
Bronx,AD 84,Isaac Wright Jr.,100
Bronx,AD 84,Joycelyn Taylor,84
Bronx,AD 84,Kathryn A. Garcia,1066
Bronx,AD 84,Maya D. Wiley,2208
Bronx,AD 84,Paperboy Love Prince,32
Bronx,AD 84,Raymond J. McGuire,348
Bronx,AD 84,Scott M. Stringer,516
Bronx,AD 84,Shaun Donovan,290
Bronx,AD 84,WRITE-IN,24
Bronx,AD 85,Aaron S. Foldenauer,236
Bronx,AD 85,Andrew Yang,1148
Bronx,AD 85,Art Chang,92
Bronx,AD 85,Dianne Morales,640
Bronx,AD 85,Eric L. Adams,6168
Bronx,AD 85,Isaac Wright Jr.,52
Bronx,AD 85,Joycelyn Taylor,50
Bronx,AD 85,Kathryn A. Garcia,806
Bronx,AD 85,Maya D. Wiley,1778
Bronx,AD 85,Paperboy Love Prince,24
Bronx,AD 85,Raymond J. McGuire,264
Bronx,AD 85,Scott M. Stringer,446
Bronx,AD 85,Shaun Donovan,300
Bronx,AD 85,WRITE-IN,24
Bronx,AD 86,Aaron S. Foldenauer,458
Bronx,AD 86,Andrew Yang,1198
Bronx,AD 86,Art Chang,152
Bronx,AD 86,Dianne Morales,1002
Bronx,AD 86,Eric L. Adams,6440
Bronx,AD 86,Isaac Wright Jr.,94
